Ringkobing,Wind,23,23,23,19,20,20,19,18,22,23,23,23
Ringkobing,Regen,17,13,12,13,11,13,14,14,15,16,16,17
Ringkobing,Luft,1,2,5,9,15,17,18,19,15,12,9,2
Ringkobing,Wasser,5,4,5,7,11,13,17,18,16,14,11,7
Fehmarn,Wind,18,18,18,15,14,14,15,15,16,16,17,20
Fehmarn,Regen,13,10,12,10,9,10,12,11,11,12,15,13
Fehmarn,Luft,2,3,6,10,16,19,20,20,18,13,7,4
Fehmarn,Wasser,2,2,3,5,9,14,17,17,15,10,5,4
La Reunion,Wind,18,19,19,20,20,22,25,25,21,19,14,12
La Reunion,Regen,16,14,14,11,9,9,11,9,7,6,7,12
La Reunion,Luft,30,30,29,28,28,26,25,25,25,25,27,29
La Reunion,Wasser,26,27,28,27,26,25,24,23,23,24,25,26
Klitmoeller,Wind,20,20,21,19,19,19,20,19,20,22,20,20
Klitmoeller,Regen,12,10,12,12,12,9,13,17,15,16,17,17
Klitmoeller,Luft,4,3,5,9,13,15,18,18,16,12,9,6
Klitmoeller,Wasser,6,7,5,7,12,16,16,18,17,13,10,7
Ruegen,Wind,22,21,20,18,16,16,16,16,18,19,22,23
Ruegen,Regen,10,8,10,9,8,9,10,9,9,9,11,11
Ruegen,Luft,2,3,6,11,16,19,21,21,18,13,8,3
Ruegen,Wasser,2,2,3,5,10,14,18,20,15,10,7,4
Nordfriesland,Wind,18,18,19,17,18,18,18,16,16,17,17,18
Nordfriesland,Regen,12,8,10,9,8,9,11,11,13,13,16,13
Nordfriesland,Luft,3,2,5,9,14,17,19,18,16,12,8,5
Nordfriesland,Wasser,4,3,4,6,11,13,16,17,15,13,9,6
SPO,Wind,18,18,19,17,18,18,18,16,16,17,17,18
SPO,Regen,12,8,10,9,8,9,11,11,13,13,16,13
SPO,Luft,3,2,5,9,14,17,19,18,16,12,8,5
SPO,Wasser,4,3,4,6,11,13,16,17,15,13,9,6
Ostfriesland,Wind,22,21,21,19,19,19,19,20,19,21,21,23
Ostfriesland,Regen,13,9,11,10,11,11,11,11,11,11,14,14
Ostfriesland,Luft,4,5,8,12,17,20,21,21,17,13,8,5
Ostfriesland,Wasser,4,3,4,6,11,13,16,17,15,13,9,6
SH,Wind,17,16,17,14,13,13,12,12,14,16,15,18
SH,Regen,13,10,12,10,10,10,12,11,11,12,15,13
SH,Luft,2,3,6,10,16,19,21,19,17,13,7,4
SH,Wasser,2,2,3,5,9,14,17,17,15,10,5,4
MV,Wind,16,15,14,11,10,13,13,12,13,13,13,17
MV,Regen,10,8,10,9,8,9,10,9,9,9,11,11
MV,Luft,2,3,5,10,16,19,21,21,18,13,8,5
MV,Wasser,2,2,3,5,9,14,18,19,15,10,5,4
Usedom,Wind,16,15,14,11,10,13,13,12,13,13,13,16
Usedom,Regen,10,8,10,9,8,9,10,9,9,9,11,11
Usedom,Luft,2,3,6,10,16,19,21,21,19,12,8,4
Usedom,Wasser,2,2,3,5,9,14,18,20,15,10,7,4
Beauduc,Wind,14,15,15,16,16,15,18,14,14,13,14,13
Beauduc,Regen,7,6,6,5,5,4,2,3,4,6,5,6
Beauduc,Luft,11,12,15,18,21,25,29,29,25,21,15,11
Beauduc,Wasser,12,13,13,13,15,18,22,21,21,19,15,14
Leucate,Wind,16,21,19,18,19,19,19,16,16,18,18,16
Leucate,Regen,3,3,3,4,4,3,2,3,3,4,4,4
Leucate,Luft,12,13,15,17,22,25,29,27,24,19,14,12
Leucate,Wasser,13,13,13,14,17,20,23,24,22,20,17,14
Limnos,Wind,14,14,13,10,18,19,19,21,21,18,14,14
Limnos,Regen,7,7,6,9,6,3,1,2,4,4,5,9
Limnos,Luft,10,10,12,16,21,26,29,28,25,20,15,11
Limnos,Wasser,14,14,15,15,18,21,23,24,24,22,19,16
Kykladen,Wind,17,18,17,16,19,21,24,25,17,18,16,15
Kykladen,Regen,12,9,8,4,3,1,1,1,1,4,6,12
Kykladen,Luft,15,15,16,20,23,25,27,28,26,24,21,17
Kykladen,Wasser,14,14,14,15,18,22,24,24,23,21,18,15
Kos,Wind,12,14,13,14,15,17,23,26,20,15,14,13
Kos,Regen,14,11,10,6,5,1,0,0,1,6,9,14
Kos,Luft,14,15,16,20,24,28,31,31,28,22,19,16
Kos,Wasser,17,15,16,18,19,20,23,25,24,22,20,18
